CellType,genesymbol
IFN-¦Ã_signature,TIGIT
IFN-¦Ã_signature,CD27
IFN-¦Ã_signature,CD8A
IFN-¦Ã_signature,PDCD1LG2
IFN-¦Ã_signature,LAG3
IFN-¦Ã_signature,CD274
IFN-¦Ã_signature,CXCR6
IFN-¦Ã_signature,CMKLR1
IFN-¦Ã_signature,NKG7
IFN-¦Ã_signature,CCL5
IFN-¦Ã_signature,PSMB10
IFN-¦Ã_signature,IDO1
IFN-¦Ã_signature,CXCL9
IFN-¦Ã_signature,HLA-DQA1
IFN-¦Ã_signature,CD276
IFN-¦Ã_signature,STAT1
IFN-¦Ã_signature,HLA-DRB1
IFN-¦Ã_signature,HLA-E
APM_signal,B2M
APM_signal,HLA-A
APM_signal,HLA-B
APM_signal,HLA-C
APM_signal,TAP1
APM_signal,TAP2
Base_excision_repair,FEN1
Base_excision_repair,LIG1
Base_excision_repair,NEIL3
Base_excision_repair,PARP1
Base_excision_repair,PARP2
Base_excision_repair,PCNA
Base_excision_repair,POLE
Base_excision_repair,POLE2
Base_excision_repair,UNG
Cell_cycle,BUB1
Cell_cycle,BUB1B
Cell_cycle,CCNA2
Cell_cycle,CCNB2
Cell_cycle,CCNE1
Cell_cycle,CCNE2
Cell_cycle,CDC20
Cell_cycle,CDC25A
Cell_cycle,CDC25C
Cell_cycle,CDC6
Cell_cycle,CDK1
Cell_cycle,CDK2
Cell_cycle,CDKN2A
Cell_cycle,DBF4
Cell_cycle,E2F1
Cell_cycle,E2F2
Cell_cycle,ESPL1
Cell_cycle,MAD2L1
Cell_cycle,MAD2L2
Cell_cycle,MCM2
Cell_cycle,MCM4
Cell_cycle,MCM6
Cell_cycle,MCM7
Cell_cycle,ORC1
Cell_cycle,ORC6
Cell_cycle,PCNA
Cell_cycle,PLK1
Cell_cycle,SKP2
Cell_cycle,SMC3
Cell_cycle,TFDP1
Cell_cycle,TTK
Cell_cycle,YWHAB
DNA_replication,DNA2
DNA_replication,FEN1
DNA_replication,LIG1
DNA_replication,MCM2
DNA_replication,MCM4
DNA_replication,MCM6
DNA_replication,MCM7
DNA_replication,PCNA
DNA_replication,POLA2
DNA_replication,POLE
DNA_replication,POLE2
DNA_replication,PRIM1
DNA_replication,PRIM2
DNA_replication,RFC2
DNA_replication,RFC3
DNA_replication,RFC4
DNA_replication,RFC5
DNA_replication,RNASEH2A
DNA_replication,RPA1
DNA_replication,RPA3
Fanconi_anemia_pathway,BLM
Fanconi_anemia_pathway,BRCA1
Fanconi_anemia_pathway,BRCA2
Fanconi_anemia_pathway,BRIP1
Fanconi_anemia_pathway,EME1
Fanconi_anemia_pathway,ERCC4
Fanconi_anemia_pathway,FANCA
Fanconi_anemia_pathway,FANCB
Fanconi_anemia_pathway,FANCD2
Fanconi_anemia_pathway,FANCI
Fanconi_anemia_pathway,PALB2
Fanconi_anemia_pathway,RAD51
Fanconi_anemia_pathway,RAD51C
Fanconi_anemia_pathway,RMI1
Fanconi_anemia_pathway,RMI2
Fanconi_anemia_pathway,RPA1
Fanconi_anemia_pathway,RPA3
Fanconi_anemia_pathway,TOP3A
Fanconi_anemia_pathway,UBE2T
Homologous_recombination,BLM
Homologous_recombination,BRCA2
Homologous_recombination,EME1
Homologous_recombination,RAD51
Homologous_recombination,RAD51C
Homologous_recombination,RAD54L
Homologous_recombination,RPA1
Homologous_recombination,RPA3
Homologous_recombination,TOP3A
Homologous_recombination,XRCC2
Homologous_recombination,XRCC3
MicroRNAs_in_cancer,BRCA1
MicroRNAs_in_cancer,CCNE1
MicroRNAs_in_cancer,CCNE2
MicroRNAs_in_cancer,CDC25A
MicroRNAs_in_cancer,CDC25C
MicroRNAs_in_cancer,CDCA5
MicroRNAs_in_cancer,CDKN2A
MicroRNAs_in_cancer,DNMT1
MicroRNAs_in_cancer,E2F1
MicroRNAs_in_cancer,E2F2
MicroRNAs_in_cancer,EZH2
MicroRNAs_in_cancer,KIF23
MicroRNAs_in_cancer,STMN1
MicroRNAs_in_cancer,TRIM71
Mismatch_repair,EXO1
Mismatch_repair,LIG1
Mismatch_repair,PCNA
Mismatch_repair,RFC2
Mismatch_repair,RFC3
Mismatch_repair,RFC4
Mismatch_repair,RFC5
Mismatch_repair,RPA1
Mismatch_repair,RPA3
Nucleotide_excision_repair,CETN2
