cell_type	GSM718790	GSM718791	GSM718797	GSM718800	GSM718803	GSM718813	GSM718777	GSM718810	GSM718787	GSM718807	GSM718771	GSM718792	GSM718795	GSM718798	GSM718802	GSM718819	GSM718821	GSM1019154	GSM1019217	GSM1019310	GSM1019312	GSM1019153	GSM1019216	GSM1019144	GSM1019164	GSM1019169	GSM1019194	GSM1019196	GSM1019211	GSM1019230	GSM1019247	GSM1019259	GSM1019264	GSM1019270	GSM1019168	GSM1019233	GSM1019297	GSM1019323	GSM1019195	GSM1019202	GSM1019206	GSM1019221	GSM1019245	GSM1019279	GSM1019322
B cell naive_CIBERSORT	0	0.003248006	0.069049069	0.003120534	0	0	0	0.002179546	0	0.018457022	0	0	0	0.023448556	0	0	0	0	0	0.006046633	0.002518964	0.024940285	0	0	0.008360072	0.02886445	0	0.014301771	0.003262691	0	0	0	0	0	0	0	0.038997523	0	0.075328563	0	0.053614098	0.04189312	0.000190444	0	0
B cell memory_CIBERSORT	0.054556739	0.026980175	0	0	0.078867125	0.048639839	0.041154729	0	0.109343637	0.001416823	0.112523798	0.186339916	0.132523506	0.009534224	0.056098111	0.133007457	0	0.016155351	0.094311077	0.018219367	0	0	0.173789695	0.113574888	0.049331277	0.025525168	0.03165488	0	0.007452078	0	0.038156141	0.011804268	0.035255009	0.02292422	0.034335372	0.09287424	0	0.068124908	0	0	0.035472136	0	0.027805835	0.104798886	0.025915059
B cell plasma_CIBERSORT	0.114476038	0.047026822	0.142687073	0.141925363	0.061783658	0.093078944	0.05691892	0.083079709	0.095610266	0.05629361	0.145379799	0.084426145	0.063595885	0.073405731	0.052716448	0.098675562	0.096826013	0.16717232	0.115863036	0.048082371	0.11357638	0.032216132	0.078635862	0.222242216	0.132455243	0.167679217	0.09011772	0.183899545	0.050247037	0.185856093	0.046771199	0.111795852	0.050696995	0.033640244	0.11053662	0.038630286	0.127143583	0.065204298	0.197643126	0.066230762	0.094430614	0.139615562	0.051109151	0.115666351	0.039711305
T cell CD8+_CIBERSORT	0	0.07346514	0.001901175	0.116051509	0	0	0.052125859	0	0	0.046960954	0.052293236	0.006458244	0.022241945	0	0.062885323	0.036623586	0	0.065926691	0.05507791	0	0.07047626	0	0.032604913	0.10543523	0.023527007	0	0.015187833	0.071589581	0	0.136062908	0.031845609	0	0	0.016859801	0.054675795	0	0.003958199	0	0.096006106	0.091180095	0.05203501	0.210365067	0	0	0.054652925
T cell CD4+ naive_CIBERSORT	0	0	0.115929828	0.123085369	0.040816275	0	0	0.030960522	0	0	0.043627696	0.072168127	0.107817301	0.007062939	0.011480816	0	0	0	0	0.003702381	0.014322918	0.096237376	0.141217362	0	0	0	0.032158661	0	0	0	0	0	0	0	0.01959941	0.160065369	0.016876985	0.096285341	0.030245018	0	0.158709651	0	0.077705178	0.086451988	0.085737755
T cell CD4+ memory resting_CIBERSORT	0.041740654	0.027475741	0	0	0.085227361	0.135011641	0.066152179	0.058596344	0.14737419	0.157668549	0	0.018896776	0	0	0.011307772	0.244147974	0.009310241	0	0.028527835	0.124103077	0	0.064301567	0	0.013125452	0.085204597	0.08649227	0.052189183	0.022542778	0.107734254	0.013228575	0	0.06918691	0.046773282	0	0	0.051024383	0	0.056934144	0	0.006175087	0.000754734	0	0.000577418	0.097479558	0.060900626
T cell CD4+ memory activated_CIBERSORT	0.032630988	0.084615806	0.026952492	0	0.004210974	0	0.087046074	0.088913425	0.028357106	0	0.001067219	0	0.042221164	0.021480681	0	0.030262349	0.060619222	0.119488921	0	0	0.137165861	0.010462917	0	0.036374328	0.138205665	0.047020786	0	0	0.015775798	0.016543042	0.059340234	0	0	0	0.134716659	0	0.079497213	0	0.005263966	0.004891388	0	0.074037218	0.037068911	0	0
T cell follicular helper_CIBERSORT	0.135996572	0.116148736	0.028843943	0.03519979	0.056861389	0.108486632	0.100781428	0.0741665	0.097606401	0.069199506	0.027088633	0.040613558	0.051277101	0.127413651	0.071850282	0	0.115978582	0.100591273	0.041641821	0.08250515	0.089130853	0.004527169	0.05630493	0.087257007	0.069600435	0.122837554	0.008437079	0.050590798	0.052433039	0.063044066	0.118023934	0.089312297	0.087159853	0.092639465	0.09023658	0.013689644	0.098882008	0.10466906	0.025067647	0.071579868	0.083839834	0.092008504	0.036530568	0.014294186	0.02939168
T cell regulatory (Tregs)_CIBERSORT	0	0	0	0	0	0	0	0.005686447	0	0.001576989	0.086752094	0	0	0.016847604	0.023766924	0	0.040429267	0.014973885	0.111191849	0.019151391	0.021379341	0.031162266	0.026732401	0.037281609	0.000363909	0	0.047093867	0.023581174	0	0.055271276	0	0	0	0.002246232	0.001155935	0	0	0	0.040399855	0.029825161	0	0.057840392	0.009816819	0.02307248	0
T cell gamma delta_CIBERSORT	0.030489967	0.001547876	0.180812962	0.088152589	0.136716209	0.02769175	0.009243479	0.119470511	0.098428001	0.022956909	0.02110216	0	0.048920379	0.123654197	0	0.01164235	0.059925422	0.129267893	0	0.056383737	0.078549722	0.097407281	0	0	0.112809766	0.065868516	0.015654682	0.044528133	0.03858218	0	0.101542261	0.093142123	0.084426418	0.017384399	0.0261269	0.003545648	0.079611503	0.093753989	0.029963667	0.031773535	0.039556482	0.013203248	0.06080028	1.71E-05	0.008406269
NK cell resting_CIBERSORT	0.044756843	0.026037048	0	0	0	0	0.062150407	0.07614018	0	0	0.039781343	0.025595556	0.053806543	0	0.06190191	0.045637653	0.047354122	0	0.029228305	0.011903882	0.012973773	0.011229249	0.093061366	0.046440668	0.015398771	0	0	0.023513826	0.011726335	0.067632852	0	0	0	0	0	0.092863507	0.002318414	0.006153837	0.0033085	0.002654198	0	0.069279408	0.036036241	0.002924059	0
NK cell activated_CIBERSORT	0	0	0	0.03145042	0.080040808	0.055710255	0	0	0.012974596	0.004157623	0	0.018654707	0	0.063801244	0.015664836	0	0	0.020385996	0.022379966	0	0	0	0	0	0	0.025730108	0.014272829	0	0	0	0	0.016630244	0.040995036	0.005952067	0.077829739	0	0.026387307	0.02819596	0.016304474	0.01526551	0	0	0	0.030579931	0.010002952
Monocyte_CIBERSORT	0	0.032966272	0.040878696	0	0	0	0	0	0	0	0	0	0	0	0.000215441	0	0	0	0	0.043064482	0	0	0	0	0	0	0	0.014331071	0.01780892	0	0	0	0.010760221	0	0	0	0	0	0	0	0	0	0.017027501	0	0
Macrophage M0_CIBERSORT	0.187506419	0.182673443	0.198442254	0.070051643	0.077832903	0.134804868	0.146283452	0.115086195	0.018503456	0.243391874	0.157176083	0.209964214	0.224426574	0.166621979	0.105532189	0.081710306	0.197768276	0.100884349	0.06416483	0.098523063	0.020353582	0.052111782	0.040561862	0.15890981	0.114221596	0.053601193	0.137073046	0.106781348	0.32999776	0.139359841	0.177211807	0.215881683	0.151750683	0.442589487	0.102771038	0.225187404	0.13283292	0.114877708	0.111490063	0.323386984	0.253402098	0.042285535	0.30678774	0.017653641	0.487101935
Macrophage M1_CIBERSORT	0.088093519	0.083128759	0.054064817	0.144870491	0.12239094	0.067972722	0.084951332	0.094279589	0.086692199	0.096289042	0.109614226	0.104392527	0.058750652	0.099729753	0.082925824	0.054401792	0.124829718	0.126796638	0.055222985	0.120286056	0.22907725	0.032502454	0.055114535	0.022573151	0.06343523	0	0.121221952	0.027248874	0.068147243	0.168397973	0.127045525	0.071482829	0.129447497	0.043530648	0.155499051	0.061948635	0.116691641	0.211937952	0.077293666	0.114334318	0.100827634	0.110525954	0.049492926	0.07516772	0.0616519
Macrophage M2_CIBERSORT	0.096665551	0.167821124	0.024002173	0.072356745	0.099356483	0.026084289	0.075774382	0.122706103	0.163630875	0.105045379	0.002505627	0.115076753	0.085743631	0.086411629	0.12084171	0.042780438	0.022532407	0.053513251	0.045596887	0.160705694	0.078075154	0.083960831	0.06630929	0.051337122	0.080660447	0.06644688	0.075005779	0.171754757	0.090510324	0.088471819	0.120910678	0.08448265	0.017399685	0.154498876	0.09026815	0.130388802	0.142546511	0	0.10409689	0.155068161	0.101493848	0.091373743	0.085631048	0.100363351	0.057023468
Myeloid dendritic cell resting_CIBERSORT	0.022943114	0.056826832	0.038083636	0.057049537	0.055237136	0.133162107	0.058431034	0.11235601	0.077899173	0.02264537	0.062996277	0	0.004294055	0.098649082	0.22678027	0.018972359	0.080292673	0.015171857	0	0.076489358	0.010400049	0.243818564	0.088967025	0.014117253	0.040637331	0.084689178	0.225779508	0.147219327	0.023734066	0.00780691	0.090290175	0.106204376	0.276828803	0.006745125	0.035360778	0	0.007747111	0.032942738	0.097615821	0.016369734	0	0.005189063	0.099590965	0.109305851	0.016248334
Myeloid dendritic cell activated_CIBERSORT	0.013673481	0.01110691	0.034358016	0.000914768	0.009118811	0.070520181	0.081508065	0	0	0.015636583	0.028099439	0.001884746	0.067550483	0	0	0.020141491	0	0.006470881	0.034185221	0	0.060461207	0	0.008417115	0.022363041	0	0.111629331	0	0.005228719	0	0.000322066	0.0024693	0.023326235	0.003450293	0	0.007287102	0	0.005865136	0.006189519	0	0	0	0	0	0.149721246	0
Mast cell activated_CIBERSORT	0	0.058931311	0	0	0.055211421	0	0.015045978	0	0	0	0.038197711	0	0.005746325	0.061907527	0	0	0	0.022912107	0.033278151	0.122623744	0.036043602	0.164476197	0	0	0.008921476	0.032269617	0.12131543	0.04073522	0	0	0.01911354	0	0.052040718	0.052558765	0.04729832	0	0	0	0.012769651	0.060279796	0.012452955	0	0	0	0
Mast cell resting_CIBERSORT	0.094148419	0	0.043993865	0.082513375	0	0.056950116	0	0.007435357	0.048561415	0.102909977	0.045336531	0.092331336	0.01198475	0	0.062595096	0.150104934	0.075986532	0	0.218864972	0	0.017476919	0.001230993	0.138283643	0.068968226	0.004845853	0	0	0.036482524	0.171199146	0.058002579	0.010342138	0.067067144	0	0.028604992	0	0.087616905	0.056412636	0.090526879	0.036060344	0	0.013410909	0.03699413	0.059782562	0.072503605	0.063255792
Eosinophil_CIBERSORT	0	0	0	0	0	0	0.008173196	0.00894356	0.002934268	0	0	0.004175839	0	0	0	0	0.041538736	0	0	0	0.002723951	0	0	0	0	0.060362638	0	0.000480909	0	0	0.032327331	0.010586651	0	0	0	0	0	0	0	0	0	0	0.00092382	0	0
Neutrophil_CIBERSORT	0.042321696	0	0	0.033257866	0.036328507	0.041886655	0.054259485	0	0.012084417	0.03539379	0.026458131	0.019021556	0.019099707	0.020031204	0.033437049	0.031891748	0.02660879	0.040288587	0.050465155	0.008209613	0.005294216	0.049414939	0	0	0.052021327	0.020983096	0.012837553	0.015189647	0.01138913	0	0.024610129	0.029096737	0.013015506	0.079825679	0.012302552	0.042165178	0.06423131	0.024203667	0.041142641	0.010985402	0	0.015389054	0.043122594	0	0
