cell_type	GSM1012941	GSM1013003	GSM1013014	GSM1013060	GSM1012830	GSM1012835	GSM1012891	GSM1012917	GSM1012921	GSM1012931	GSM1012934	GSM1012936	GSM1012938	GSM1012974	GSM1012979	GSM1012999	GSM1013007	GSM1013015	GSM1013016	GSM1013025	GSM1013032	GSM1013035	GSM1013052	GSM1013057	GSM1013063	GSM1013065	GSM1013083	GSM1012828	GSM1012844	GSM1012845	GSM1012851	GSM1012855	GSM1012860	GSM1012865	GSM1012885	GSM1012890	GSM1012894	GSM1012924	GSM1012954	GSM1012956	GSM1012959	GSM1012961	GSM1012987	GSM1012989	GSM1012992	GSM1012996	GSM1013013	GSM1013041	GSM1013070	GSM1013082	GSM1013087	GSM1013098	GSM1013102	GSM1012880	GSM1012881	GSM1012898	GSM1012922	GSM1012977	GSM1012988	GSM1013004	GSM1013027	GSM1013040	GSM1013062	GSM1012829	GSM1012857	GSM1012863	GSM1012883	GSM1012884	GSM1012892	GSM1012904	GSM1012907	GSM1012912	GSM1012915	GSM1012916	GSM1012920	GSM1012939	GSM1012942	GSM1012993	GSM1012998	GSM1013022	GSM1013023	GSM1013029	GSM1013034	GSM1013037	GSM1013084	GSM1033052	GSM1033019	GSM1033047	GSM1033049	GSM1032893	GSM1032989	GSM1033012	GSM1033040	GSM1032960	GSM1033026	GSM1033001	GSM1033030	GSM1032921	GSM1032922	GSM1033006	GSM1032901	GSM1033018	GSM1033020	GSM1033002	GSM1032907	GSM1032991	GSM1032998	GSM1032955	GSM1032947	GSM1032957	GSM1032936	GSM1032959	GSM1032943	GSM1032944	GSM1032924	GSM1032884
B cell naive_CIBERSORT	0	0.030896419	0.005454468	0.004977532	0	0	0.008073349	0	0	0	0.01806381	0	0	0	0.014172511	0.015010875	0	0	0	0.019290737	0	0.001752031	0.001889242	0.01534431	0	0	0	0	0	0.010877927	0	0	0.005505495	0.045681366	0	0.008502876	0	0	0.025397397	0	0	0	0	0.022818807	0	0	0	0.009301495	0.017672366	0.0090195	0.014652177	0	0.002309416	0	0	0	0.000352034	0	0.027098033	0.044209177	0.000191296	0	0	0	0	0	0.000894238	0.197344321	0	0	0	0	0	0	0.015666844	0	0	0.027564316	0	0	0	0.021527673	0.005610067	0	0	0.014773406	0.004584214	0.005897997	0	0.010481392	0.020532834	0	0.013466842	0	0.031497905	0	0	0	0	0.011380847	0	0	0	0.028155115	0.043236855	0.007985794	0	0.006347996	0.007660233	0	0	0	0	0	0.000597206	0
B cell memory_CIBERSORT	0.017440031	0	0.001285167	0.017282828	0.034618801	0	0.017142056	0.00702999	0.000707256	0.059196736	0.03063893	0.009151406	0.088261584	0.034394669	0	0	0.029905653	0	0.060839882	0.097012741	0.006607272	0.051888111	0.029456044	0.085008177	0	0.00612119	0.046588133	0.105319229	0	0	0.06786895	0.054771609	0	0	0.109484331	0	0	0.02673371	0.034840969	0.020927947	0.015792315	0.010725515	0.069038531	0.016691104	0.001953334	0.019806588	0.0173698	0	0.060043965	0.034804556	0.010925092	0	0.098144667	0.080580652	0.020355156	0.050511527	0.0095156	0.025898085	0.000516527	0	0.002949514	0	0.009962765	0.015165893	0.015925776	0.024233457	0.026456182	0	0.029630596	0.01958542	0.046769819	0.083627462	0.022594736	0.006019932	0	0.0223245	0.071104009	0	0.141733756	0.010290841	0	0	0.081000429	0.013221349	0.070097103	0.072160426	0.002084599	0	0	0	0	0.027276639	0.02239579	0.025004904	0	0.029568131	0.062713188	0.0770211	0.001815668	0.000828819	0.034192326	0.00848843	0.05538762	0.008986331	0	0.002178588	0.0441845	0.044372587	0.001293863	0.026978654	0.020164122	0.099123919	0.11018519	0.009752088	0.038000522	0.003006773
B cell plasma_CIBERSORT	0.060779982	0.106856627	0	0.021077501	0.093441336	0.03777492	0.000293395	0.044800148	0.294225658	0	0.043545374	0.112575455	0.077311968	0.051423751	0.006520122	0.019842855	0.000852767	0	0.028686662	0.022657597	0.008408479	0	0	0	0.254048878	0	0.047560721	0	0.092652247	0.014328748	0	0	0.120990135	0.337528909	0.10722107	0.162126464	0.039101119	0	0.086109299	0.081321663	0.067301146	0.154917105	0	0	0.224993464	0	0.217002512	0.095760958	0	0.031630309	0	0.026143853	0	0	0.076838175	0.003885641	0.095173617	0.018369044	0.051116981	0	0.010104806	0.119172813	0	0.16013735	0.091150951	0	0	0	0.032111396	0.094896036	0.011900402	0	0.170373712	0	0	0.068140466	0	0.079109646	0	0.004401063	0.156159951	0	0.056818446	0.123733326	0	0	0	0.197216053	0.040717886	0.001330467	0	0	0	0.045777559	0	0.195332437	0	0	0.05855088	0.008242638	0	0.193275894	0.033501163	0.059102487	0.358793449	0	0	0.050645557	0.09648279	0.076017364	0.072898462	0.062279048	0	0.027889208	0.000255385	0.020933642
T cell CD8+_CIBERSORT	0.054463865	0.102051923	0.043134023	0.063293309	0.152416716	0.111674009	0.163497177	0.117696347	0.114780807	0.080441193	0.051349967	0.076798943	0.056140939	0.109664145	0.067464056	0.175871034	0.023565006	0.040106634	0.060043215	0.186844234	0.034442398	0.164603757	0.002213844	0.068854354	0.026593548	0	0	0.036925089	0.008154193	0	0.068954073	0	0	0.009728953	0.078337451	0.023005568	0.038909546	0.013922487	0.113474707	0.103286854	0.219313996	0.0898526	0.003454024	0.026457809	0.116106482	0	0.140811383	0.142708185	0.192243893	0.126192474	0.03346619	0.038932552	0.081550046	0.035531779	0.190870543	0	0.099314507	0.04895082	0.006613465	0.024823859	0.110936946	0.091991087	0.152635701	0.050368939	0.059471798	0.210308443	8.13E-05	0.028819188	0.041998223	0.078711778	0	0.200181884	0.059820855	0.12038592	0.031881824	0.056328976	0.134628161	0.028656763	0.045418794	0.085035533	0.180042367	0.15010046	0.03032546	0.101913519	0.048262487	0.213526869	0.034830028	0.094442646	0.114514578	0	0.015791769	0.027393554	0	0.058365993	0.165572756	0.169324169	0.185588708	0	0.149910649	0.186571427	0	0.139437623	0.099512148	0.026530874	0.012321774	0.068233062	0.001273224	0.015319731	0.096904255	0.08910037	0.086879458	0.061090189	0.017612617	0.128133193	0.079081106	0.113921527
T cell CD4+ naive_CIBERSORT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004935755	0	0	0	0	0.006815484	0	0	0	0	0	0	0	0	0.05133185	0	0	0.002678736	0	0.18751034	0	0	0	0	0	0.103721669	0	0	0.123624241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.021295328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T cell CD4+ memory resting_CIBERSORT	0.157471615	0.101341199	0.141243755	0.188096962	0.064021443	0.145315761	0.159017922	0.209120271	0.099965023	0.155031335	0.324122984	0.262508798	0.207088868	0.107479171	0.219300821	0.253841639	0.207572838	0.25148693	0.225234556	0.131579076	0.02504875	0.152489514	0.180531942	0.202184022	0.220623779	0.371915854	0.159699382	0.209177912	0.337939858	0.208896664	0.258655968	0.274145417	0.266488467	0.114126418	0.197389551	0.102306444	0.121842113	0.220907428	0.089819101	0.14074963	0.104332264	0.151730005	0.313901368	0.20595234	0.131121976	0.334349013	0.060415215	0.102179982	0.20788612	0.178436712	0.179457754	0.25043605	0.14708988	0.20801911	0.047094939	0.113117268	0.193778273	0.119687694	0.243873479	0.307285125	0.184176377	0.133531513	0.048784935	0.197842616	0.133482812	0.037485417	0.211163946	0.148881184	0.168376782	0.189663222	0	0.041036261	0.016223919	0.089262858	0.203015941	0.043988686	0.036054176	0.247142891	0.03072719	0.192210328	0	0	0.120256337	0.071896792	0.100887317	0.189174246	0.104503552	0.246529117	0.174431799	0.185878228	0.07925831	0.204964033	0.133307957	0	0.149020319	0.037921279	0.075809417	0.17421044	0.067705673	0.203811865	0.274026814	0.057157963	0.132022727	0.254127146	0.064863486	0.250666583	0.268026841	0.277366932	0.206384377	0.206485757	0.176432439	0.144408992	0.145059709	0.196024136	0.1497137	0.125749515
T cell CD4+ memory activated_CIBERSORT	0	0.057928783	0.010296908	0	0.015808858	0.027861003	0.049906704	0.002669723	0.046100827	0	0.032650057	0	0.012036421	0.003570736	0.032853617	0.043933733	0.002319787	0.127864325	0.0031283	0.040422311	0.081233864	0.010626898	0.001120991	0.020781588	0.001649155	0.093343406	0.010003874	0.036577466	0.050184175	0	0	0	0.066376552	0.067819445	0	0.031868935	0	0.040621691	0.004775153	0.018226755	0.047688716	0.015106186	0.088688568	0.040535641	0.008507253	0	0.027992313	0	0.084236021	0.021084608	0.033786626	0	0.009185392	0.035379173	0.007248937	0	0.054057277	0	0.087662882	0.083724749	0.025651015	0	0.000548584	0.012667878	0.012129432	0.08993377	0.031315385	0.016480722	0.001040884	0.003787769	0.132916943	0.013503398	0.004415678	0.006638152	0.047107361	0.102242903	0.057240001	0.063116918	0.104631429	0	0.07262405	0.019444332	0.022650928	0.016600641	0.132017232	0.081851394	0.017598943	0.01201292	0.094256617	0	0.060864927	0.002802351	0	0.125075288	0.012009917	0.028766798	0.003938453	0.044437443	0.005681124	0.048621695	0.015358312	0.020593453	0	0.056062172	0.048533315	0.029595387	0.116556204	0.023889864	0.052635827	0.000279943	0.02987966	0.018135818	0.098463993	0	0.054526192	0.020869856
T cell follicular helper_CIBERSORT	0	0.047302779	0.019019242	0.017115286	0	0.042460112	0.042753529	0.077586725	0.057286343	0.00908596	0.011067387	0.016406933	0.082648042	0.008152385	0	0	0.002435515	0	0	0.011524317	0.088420059	0.06410639	0.049232781	0	0.042519141	7.08E-05	0.055122448	0.063574637	0	0.02764723	0	0	0	0.043491536	0.053626329	0.046786171	0.014456585	0	0.103117066	0.057400728	0	0.020912733	0	0.009488748	0.004923592	0	0.034866835	0.014561157	0	0.032415622	0.042741758	0.045253386	0.055873423	0.007347929	0.028534731	0.013460132	0	0.096739655	0	0.009926637	0.064367689	0.017760077	0.101041864	0	0.029006319	0.076218527	0.053696386	0	0	0.009538786	0.175896056	0.048856767	0.028033731	0.00626419	0	0.050953194	0.044044636	0	0.02220407	0.063152957	0.107376283	0.025620591	0	0.041756583	0.017508757	0	0.028390512	0.024633652	0.053244877	0.038946591	0.073517985	0.001461513	0.066973331	0.074981948	0.037601088	0.040576494	0.10059327	0.005941483	0.012761331	0	0.001367449	0.054898004	0.043420786	0	0.066095092	0	0	0	0	0.036635692	0.006543636	0.106721853	0.127390906	0.09333388	0.058830878	0.047089968
T cell regulatory (Tregs)_CIBERSORT	0	0.024184298	0	0	0	0	0.00373138	0	0	0.010351032	0	0	0	0	0	0	0	0	0	0.00479356	0	0.000352899	0	0	0	0	0	0.021197749	0	0.01835458	0.028640311	0	0	0	0	0	0.004763107	0	0.004335254	0.007633356	0	0	0	0.017795933	0	0	0.019452229	0	0	0	0	0	0	0	0.005330195	0.006083313	0	0	0	0	0	0	0.013012469	0.007644559	0	0.008374574	0	0.051811064	0	0	0	0	0	0	0	0	0	0	0	0	0	0.041951112	0.016331161	0	0	0	0	0	0	0.01719014	0	0	0	0.006352113	0	0.003543867	0	0	0.010732512	0	0	0.029392222	0.001358439	0	0	0	0	0	0	0	0	0.003807553	0	0	0	0
T cell gamma delta_CIBERSORT	0	0.011393866	0.075650825	0	0.027804153	0.085861759	0.064823108	0.00907169	0.037717539	0.029893257	0.079751105	0	0.019323489	0.033639532	0.051173848	0.022360658	0	0.042843412	0.015690324	0.035528705	0	0	0	0.025033368	0.063197929	0.101160216	0.005927824	0.053320767	0	0.045235994	0	0.01668885	0.063875569	0.019933849	0	0.070424163	0	0	0	0.075321808	0.024184077	0.030104942	0	0	0	0.058068559	0	0.012026021	0.005353271	0.079530729	0.074201956	0.024077207	0.085687285	0	0	0	0.101168187	0.009040136	0	0	0.025508142	0.049290896	0.043469465	0.091107043	0.001436668	0	0.05831826	0	0.074532349	0.045225947	0.035072592	0	0	0.031233467	0	0	0.130570674	0.032668169	0	0	0	0	0	0	0.052277326	0	0.065204774	0.031525239	0.039507997	0.026613027	0.060563725	0	0	0	0	0	0	0	0.021514224	0.035273404	0	0	0.070016078	0.010288949	0.027913261	0.042767186	0	0.095648093	0.105526288	0	0.02684089	0.027693531	0	0.004531635	0.035023947	0.073084596
